Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,10114001,true,Rx,0,8,03,2F,CB,8F,CA,82,9D,FF,
0,10114001,true,Rx,0,8,FB,90,81,82,FE,99,8C,FF,
0,10114001,true,Rx,0,8,9A,FA,F2,FF,F9,81,CA,CB,
0,10114001,true,Rx,0,8,CA,CB,CD,C9,CA,CF,C8,CB,
0,10114001,true,Rx,0,8,CA,CF,CA,CA,CA,CA,CA,CA,
0,10114001,true,Rx,0,8,C9,CB,CB,2E,C6,35,35,35,
0,10114001,true,Rx,0,8,35,C5,9F,CA,CA,CA,CA,92,
0,10114001,true,Rx,0,8,C8,CA,CA,33,CA,CA,CA,CA,
0,10114001,true,Rx,0,8,CA,CA,CA,CA,CA,CA,CA,AB,
0,10214001,true,Rx,0,1,3F,00,00,00,00,00,00,00,
0,00560314,true,Rx,0,8,07,AA,02,84,00,57,2E,1B,
0,00960314,true,Rx,0,8,07,23,09,00,01,4B,03,14,
0,00D60314,true,Rx,0,8,07,03,2F,1A,9F,1B,49,28,
0,01160314,true,Rx,0,8,07,28,2A,41,50,59,2E,48,
0,01560314,true,Rx,0,8,07,5C,22,4D,2A,2F,2A,28,
0,01960314,true,Rx,0,8,07,E4,E4,E4,E4,1A,69,19,
0,01D60314,true,Rx,0,8,07,10,19,1A,1B,10,19,19,
0,02160314,true,Rx,0,8,07,1A,19,1B,D3,1B,1B,1A,
0,02560314,true,Rx,0,8,07,1C,20,C3,1B,1B,3C,15,
0,02960314,true,Rx,0,8,07,1B,1B,1A,1B,19,B7,9D,
0,02D60314,true,Rx,0,8,07,D7,5A,01,9C,D7,1B,1B,
0,03160314,true,Rx,0,8,07,58,F6,E4,E4,1B,1A,1B,
0,03560314,true,Rx,0,8,07,1B,1B,1A,1B,1B,1B,1A,
0,03960314,true,Rx,0,8,07,1B,1B,1B,1B,1B,1B,1B,
0,03D60314,true,Rx,0,8,07,1B,1B,1B,1B,1B,1B,1B,
0,04160314,true,Rx,0,8,07,1B,1B,1B,1B,1B,1B,1B,
0,04560314,true,Rx,0,8,07,1B,1B,1B,1B,1B,1B,1B,
0,04960314,true,Rx,0,8,07,1B,1B,1B,1B,1B,1B,1B,
0,04D60314,true,Rx,0,8,07,1B,1B,1B,1B,00,03,3B,
0,05160314,true,Rx,0,8,07,55,1B,1B,28,0C,1B,1B,
0,05560314,true,Rx,0,8,07,29,0C,1B,1B,7F,0F,1B,
0,05960314,true,Rx,0,8,03,7F,B5,DA,00,00,00,00,
0,004D0306,true,Rx,0,8,07,AA,02,45,00,AF,2D,1C,
0,008D0306,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00CD0306,true,Rx,0,8,07,03,2F,1D,59,1C,54,4B,
0,010D0306,true,Rx,0,8,07,29,2D,46,57,54,28,4F,
0,014D0306,true,Rx,0,8,07,5A,29,4C,2C,24,29,2F,
0,018D0306,true,Rx,0,8,07,57,1C,1D,1C,1D,1B,1F,
0,01CD0306,true,Rx,0,8,07,1C,19,1E,1D,1C,19,1C,
0,020D0306,true,Rx,0,8,07,1C,1C,1C,1C,1C,1F,1D,
0,024D0306,true,Rx,0,8,07,1D,F8,10,E3,E3,E3,E3,
0,028D0306,true,Rx,0,8,07,13,49,1C,1C,1C,1C,44,
0,02CD0306,true,Rx,0,8,07,1E,1C,1C,E5,1C,1C,1C,
0,030D0306,true,Rx,0,8,07,1C,1C,1C,1C,1C,1C,1C,
0,034D0306,true,Rx,0,8,03,1C,26,B2,00,00,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,1D,
0,00831406,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,03,27,1C,3E,7F,00,00,
0,00461403,true,Rx,0,8,07,AA,02,17,00,89,2C,1E,
0,00861403,true,Rx,0,8,07,23,09,00,01,4B,14,03,
0,00C61403,true,Rx,0,8,07,03,30,1E,1D,E1,E4,1E,
0,01061403,true,Rx,0,8,07,1E,1E,1E,1E,1E,1E,1E,
0,01461403,true,Rx,0,8,07,1E,1E,1E,1E,1E,1E,1E,
0,01861403,true,Rx,0,7,06,1E,1E,1E,1E,58,50,00,
0,00461406,true,Rx,0,8,07,AA,02,17,00,89,2C,1F,
0,00861406,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C61406,true,Rx,0,8,07,03,30,1F,1C,E0,E5,1F,
0,01061406,true,Rx,0,8,07,1F,1F,1F,1F,1F,1F,1F,
0,01461406,true,Rx,0,8,07,1F,1F,1F,1F,1F,1F,1F,
0,01861406,true,Rx,0,7,06,1F,1F,1F,1F,FF,5B,00,
0,10014001,true,Rx,0,8,AA,03,17,00,E2,2C,CB,E5,
0,10114001,true,Rx,0,8,03,00,01,4B,14,06,01,01,
0,10114001,true,Rx,0,8,03,30,CB,C8,34,31,CB,CB,
0,10114001,true,Rx,0,8,CB,CB,CB,CB,CB,CB,CB,CB,
0,10114001,true,Rx,0,8,CB,CB,CB,CB,CB,CB,CB,CB,
0,10214001,true,Rx,0,3,CB,D7,34,00,00,00,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00430306,true,Rx,0,8,07,AA,02,01,00,A0,2C,1D,
0,00830306,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C30306,true,Rx,0,8,05,03,27,1C,3E,7F,00,00,
0,00440306,true,Rx,0,8,07,AA,02,05,00,F4,2C,00,
0,00840306,true,Rx,0,8,07,00,00,00,00,00,03,06,
0,00C40306,true,Rx,0,8,07,03,13,01,02,01,1A,00,
0,01040306,true,Rx,0,8,02,7E,A0,00,00,00,00,00,
0,004B0314,true,Rx,0,8,07,AA,02,35,00,0D,2E,1E,
0,008B0314,true,Rx,0,8,07,23,09,00,01,4B,03,14,
0,00CB0314,true,Rx,0,8,07,03,30,1E,21,C6,1E,1E,
0,010B0314,true,Rx,0,8,07,39,10,1E,1E,65,D2,1E,
0,014B0314,true,Rx,0,8,07,1E,7B,F3,E1,E1,2D,09,
0,018B0314,true,Rx,0,8,07,1E,1E,2C,09,1E,1E,04,
0,01CB0314,true,Rx,0,8,07,1F,D3,12,1E,1E,DB,12,
0,020B0314,true,Rx,0,8,07,1E,1E,05,06,C7,53,1E,
0,024B0314,true,Rx,0,8,07,1E,F6,0D,1E,1E,1E,1E,
0,028B0314,true,Rx,0,8,07,1E,1E,1E,1E,1E,1E,BE,
0,02CB0314,true,Rx,0,8,01,B6,00,00,00,00,00,00,
0,00460306,true,Rx,0,8,07,AA,02,17,00,89,2C,1F,
0,00860306,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C60306,true,Rx,0,8,07,03,30,1F,1C,E0,E5,1F,
0,01060306,true,Rx,0,8,07,1F,1F,1F,1F,1F,1F,1F,
0,01460306,true,Rx,0,8,07,1F,1F,1F,1F,1F,1F,1F,
0,01860306,true,Rx,0,8,06,1F,1F,1F,1F,FF,5B,00,
0,00430306,true,Rx,0,8,07,AA,02,01,00,A0,2C,00,
0,00830306,true,Rx,0,8,07,00,00,00,00,00,03,06,
0,00C30306,true,Rx,0,8,05,01,50,00,26,A7,00,00,
0,00430342,true,Rx,0,8,07,AA,02,01,00,A0,2C,00,
0,00830342,true,Rx,0,8,07,00,00,00,00,00,03,42,
0,00C30342,true,Rx,0,8,05,01,50,00,32,57,00,00,
0,00430308,true,Rx,0,8,07,AA,02,01,00,A0,2C,00,
0,00830308,true,Rx,0,8,07,00,00,00,00,00,03,08,
0,00C30308,true,Rx,0,8,05,01,50,00,24,4F,00,00,
0,00430308,true,Rx,0,8,07,AA,02,01,00,A0,2C,00,
0,00830308,true,Rx,0,8,07,00,00,00,00,00,03,08,
0,00C30308,true,Rx,0,8,05,03,21,01,60,1F,00,00,
0,00440308,true,Rx,0,8,07,AA,02,0A,00,37,2C,00,
0,00840308,true,Rx,0,8,07,00,00,00,00,00,03,08,
0,00C40308,true,Rx,0,8,07,03,22,01,02,00,00,00,
0,01040308,true,Rx,0,8,07,00,00,00,00,00,53,FC,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2E,00,
0,00831403,true,Rx,0,8,07,00,00,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,01,75,14,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00450306,true,Rx,0,8,07,AA,02,0C,00,49,2C,00,
0,00850306,true,Rx,0,8,07,00,00,00,00,00,03,06,
0,00C50306,true,Rx,0,8,07,03,23,00,00,01,00,01,
0,01050306,true,Rx,0,8,07,64,14,01,01,00,01,00,
0,01450306,true,Rx,0,8,02,91,C4,00,00,00,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00430306,true,Rx,0,8,07,AA,02,02,00,9F,2C,00,
0,00830306,true,Rx,0,8,07,00,00,00,00,00,03,06,
0,00C30306,true,Rx,0,8,06,03,10,01,01,99,28,00,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,20,
0,00831403,true,Rx,0,8,07,23,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,20,7C,3E,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,21,
0,00831406,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,01,50,21,B9,CE,00,00,
0,00461403,true,Rx,0,8,07,AA,02,17,00,89,2C,22,
0,00861403,true,Rx,0,8,07,23,09,00,01,4B,14,03,
0,00C61403,true,Rx,0,8,07,03,30,22,21,DD,DB,22,
0,01061403,true,Rx,0,8,07,22,22,22,22,22,22,22,
0,01461403,true,Rx,0,8,07,22,22,22,22,22,22,22,
0,01861403,true,Rx,0,7,06,22,22,22,22,FB,9C,00,
0,00461406,true,Rx,0,8,07,AA,02,17,00,89,2C,23,
0,00861406,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C61406,true,Rx,0,8,07,03,30,23,20,DC,DA,23,
0,01061406,true,Rx,0,8,07,23,23,23,23,23,23,23,
0,01461406,true,Rx,0,8,07,23,23,23,23,23,23,23,
0,01861406,true,Rx,0,7,06,23,23,23,23,5C,97,00,
0,10014001,true,Rx,0,8,AA,03,17,00,E2,2C,CC,E5,
0,10114001,true,Rx,0,8,03,00,01,4B,14,06,01,01,
0,10114001,true,Rx,0,8,03,30,CC,CF,33,35,CC,CC,
0,10114001,true,Rx,0,8,CC,CC,CC,CC,CC,CC,CC,CC,
0,10114001,true,Rx,0,8,CC,CC,CC,CC,CC,CC,CC,CC,
0,10214001,true,Rx,0,3,CC,74,F4,00,00,00,00,00,
0,00430314,true,Rx,0,8,07,AA,02,01,00,A0,2E,20,
0,00830314,true,Rx,0,8,07,23,09,00,01,4B,03,14,
0,00C30314,true,Rx,0,8,05,01,50,21,35,8E,00,00,
0,00430306,true,Rx,0,8,07,AA,02,01,00,A0,2C,21,
0,00830306,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C30306,true,Rx,0,8,05,01,50,21,B9,CE,00,00,
0,004B0314,true,Rx,0,8,07,AA,02,35,00,0D,2E,22,
0,008B0314,true,Rx,0,8,07,23,09,00,01,4B,03,14,
0,00CB0314,true,Rx,0,8,07,03,30,22,17,FA,22,22,
0,010B0314,true,Rx,0,8,07,05,2C,22,22,5F,EE,22,
0,014B0314,true,Rx,0,8,07,22,47,CF,DD,DD,11,35,
0,018B0314,true,Rx,0,8,07,22,22,10,35,22,22,38,
0,01CB0314,true,Rx,0,8,07,23,EE,2E,22,22,E0,2E,
0,020B0314,true,Rx,0,8,07,22,22,39,3A,FB,6F,22,
0,024B0314,true,Rx,0,8,07,22,C4,31,22,22,22,22,
0,028B0314,true,Rx,0,8,07,22,22,22,22,22,22,E3,
0,02CB0314,true,Rx,0,8,01,8A,00,00,00,00,00,00,
0,00460306,true,Rx,0,8,07,AA,02,17,00,89,2C,23,
0,00860306,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C60306,true,Rx,0,8,07,03,30,23,20,DC,DA,23,
0,01060306,true,Rx,0,8,07,23,23,23,23,23,23,23,
0,01460306,true,Rx,0,8,07,23,23,23,23,23,23,23,
0,01860306,true,Rx,0,8,06,23,23,23,23,5C,97,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00430342,true,Rx,0,8,07,AA,02,01,00,A0,2D,02,
0,00830342,true,Rx,0,8,07,03,01,00,13,00,03,42,
0,00C30342,true,Rx,0,8,05,03,19,03,CD,23,00,00,
0,004D1403,true,Rx,0,8,07,AA,02,45,00,AF,2D,24,
0,008D1403,true,Rx,0,8,07,23,09,00,01,4B,14,03,
0,00CD1403,true,Rx,0,8,07,03,2F,25,61,24,6C,73,
0,010D1403,true,Rx,0,8,07,11,15,7E,6F,6C,10,77,
0,014D1403,true,Rx,0,8,07,62,11,74,14,1C,11,17,
0,018D1403,true,Rx,0,8,07,6F,24,25,24,25,23,27,
0,01CD1403,true,Rx,0,8,07,24,21,26,25,24,21,24,
0,020D1403,true,Rx,0,8,07,24,24,24,24,24,27,25,
0,10114001,true,Rx,0,8,9A,FA,F2,FF,F9,81,CA,CB,
0,10114001,true,Rx,0,8,CA,CB,CD,C9,CA,CF,C8,CB,
0,10114001,true,Rx,0,8,CA,CF,CA,CA,CA,CA,CA,CA,
0,10114001,true,Rx,0,8,C9,CB,CB,2E,C6,35,35,35,
0,10114001,true,Rx,0,8,35,C5,9F,CA,CA,CA,CA,92,
0,10114001,true,Rx,0,8,C8,CA,CA,33,CA,CA,CA,CA,
0,10114001,true,Rx,0,8,CA,CA,CA,CA,CA,CA,CA,AB,
0,10214001,true,Rx,0,1,3F,00,00,00,00,00,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,1D,
0,00831406,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,03,27,1C,3E,7F,00,00,
0,00461403,true,Rx,0,8,07,AA,02,17,00,89,2C,1E,
0,00861403,true,Rx,0,8,07,23,09,00,01,4B,14,03,
0,00C61403,true,Rx,0,8,07,03,30,1E,1D,E1,E4,1E,
0,01061403,true,Rx,0,8,07,1E,1E,1E,1E,1E,1E,1E,
0,01461403,true,Rx,0,8,07,1E,1E,1E,1E,1E,1E,1E,
0,01861403,true,Rx,0,7,06,1E,1E,1E,1E,58,50,00,
0,00461406,true,Rx,0,8,07,AA,02,17,00,89,2C,1F,
0,00861406,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C61406,true,Rx,0,8,07,03,30,1F,1C,E0,E5,1F,
0,01061406,true,Rx,0,8,07,1F,1F,1F,1F,1F,1F,1F,
0,01461406,true,Rx,0,8,07,1F,1F,1F,1F,1F,1F,1F,
0,01861406,true,Rx,0,7,06,1F,1F,1F,1F,FF,5B,00,
0,10014001,true,Rx,0,8,AA,03,17,00,E2,2C,CB,E5,
0,10114001,true,Rx,0,8,03,00,01,4B,14,06,01,01,
0,10114001,true,Rx,0,8,03,30,CB,C8,34,31,CB,CB,
0,10114001,true,Rx,0,8,CB,CB,CB,CB,CB,CB,CB,CB,
0,10114001,true,Rx,0,8,CB,CB,CB,CB,CB,CB,CB,CB,
0,10214001,true,Rx,0,3,CB,D7,34,00,00,00,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2E,00,
0,00831403,true,Rx,0,8,07,00,00,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,01,75,14,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,20,
0,00831403,true,Rx,0,8,07,23,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,20,7C,3E,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,21,
0,00831406,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,01,50,21,B9,CE,00,00,
0,00461403,true,Rx,0,8,07,AA,02,17,00,89,2C,22,
0,00861403,true,Rx,0,8,07,23,09,00,01,4B,14,03,
0,00C61403,true,Rx,0,8,07,03,30,22,21,DD,DB,22,
0,01061403,true,Rx,0,8,07,22,22,22,22,22,22,22,
0,01461403,true,Rx,0,8,07,22,22,22,22,22,22,22,
0,01861403,true,Rx,0,7,06,22,22,22,22,FB,9C,00,
0,00461406,true,Rx,0,8,07,AA,02,17,00,89,2C,23,
0,00861406,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C61406,true,Rx,0,8,07,03,30,23,20,DC,DA,23,
0,01061406,true,Rx,0,8,07,23,23,23,23,23,23,23,
0,01461406,true,Rx,0,8,07,23,23,23,23,23,23,23,
0,01861406,true,Rx,0,7,06,23,23,23,23,5C,97,00,
0,10014001,true,Rx,0,8,AA,03,17,00,E2,2C,CC,E5,
0,10114001,true,Rx,0,8,03,00,01,4B,14,06,01,01,
0,10114001,true,Rx,0,8,03,30,CC,CF,33,35,CC,CC,
0,10114001,true,Rx,0,8,CC,CC,CC,CC,CC,CC,CC,CC,
0,10114001,true,Rx,0,8,CC,CC,CC,CC,CC,CC,CC,CC,
0,10214001,true,Rx,0,3,CC,74,F4,00,00,00,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,004D1403,true,Rx,0,8,07,AA,02,45,00,AF,2D,24,
0,008D1403,true,Rx,0,8,07,23,09,00,01,4B,14,03,
0,00430306,true,Rx,0,8,07,AA,02,01,00,A0,2C,1D,
0,00CD1403,true,Rx,0,8,07,03,2F,25,61,24,6C,73,
0,00830306,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,010D1403,true,Rx,0,8,07,11,15,7E,6F,6C,10,77,
0,00C30306,true,Rx,0,8,05,03,27,1C,3E,7F,00,00,
0,014D1403,true,Rx,0,8,07,62,11,74,14,1C,11,17,
0,004B0314,true,Rx,0,8,07,AA,02,35,00,0D,2E,1E,
0,018D1403,true,Rx,0,8,07,6F,24,25,24,25,23,27,
0,008B0314,true,Rx,0,8,07,23,09,00,01,4B,03,14,
0,01CD1403,true,Rx,0,8,07,24,21,26,25,24,21,24,
0,00CB0314,true,Rx,0,8,07,03,30,1E,2B,C6,1E,1E,
0,020D1403,true,Rx,0,8,07,24,24,24,24,24,27,25,
0,010B0314,true,Rx,0,8,07,39,10,1E,1E,63,D2,1E,
0,004D1406,true,Rx,0,8,07,AA,02,45,00,AF,2D,25,
0,014B0314,true,Rx,0,8,07,1E,7B,F3,E1,E1,2D,09,
0,008D1406,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,018B0314,true,Rx,0,8,07,1E,1E,2C,09,1E,1E,04,
0,00CD1406,true,Rx,0,8,07,03,2F,24,60,25,6D,72,
0,01CB0314,true,Rx,0,8,07,1F,D2,12,1E,1E,DC,12,
0,010D1406,true,Rx,0,8,07,10,14,7F,6E,6D,11,76,
0,020B0314,true,Rx,0,8,07,1E,1E,05,06,C7,53,1E,
0,014D1406,true,Rx,0,8,07,63,10,75,15,1D,10,16,
0,024B0314,true,Rx,0,8,07,1E,F8,0D,1E,1E,1E,1E,
0,018D1406,true,Rx,0,8,07,6E,25,24,25,24,22,26,
0,028B0314,true,Rx,0,8,07,1E,1E,1E,1E,1E,1E,68,
0,01CD1406,true,Rx,0,8,07,25,20,27,24,25,20,25,
0,02CB0314,true,Rx,0,8,01,23,00,00,00,00,00,00,
0,020D1406,true,Rx,0,8,07,25,25,25,25,25,26,24,
0,00460306,true,Rx,0,8,07,AA,02,17,00,89,2C,1F,
0,024D1406,true,Rx,0,8,07,24,C1,29,DA,DA,DA,DA,
0,00860306,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,028D1406,true,Rx,0,8,07,2A,70,25,25,25,25,7D,
0,00C60306,true,Rx,0,8,07,03,30,1F,1C,E0,E5,1F,
0,02CD1406,true,Rx,0,8,07,27,25,25,DC,25,25,25,
0,01060306,true,Rx,0,8,07,1F,1F,1F,1F,1F,1F,1F,
0,030D1406,true,Rx,0,8,07,25,25,25,25,25,25,25,
0,01460306,true,Rx,0,8,07,1F,1F,1F,1F,1F,1F,1F,
0,034D1406,true,Rx,0,4,03,25,88,AE,00,00,00,00,
0,01860306,true,Rx,0,8,06,1F,1F,1F,1F,FF,5B,00,
0,10014001,true,Rx,0,8,AA,03,45,00,C4,2D,CD,E5,
0,00430314,true,Rx,0,8,07,AA,02,01,00,A0,2E,20,
0,10114001,true,Rx,0,8,03,00,01,4B,14,03,01,01,
0,00830314,true,Rx,0,8,07,23,09,00,01,4B,03,14,
0,10114001,true,Rx,0,8,03,2F,CC,88,CD,85,9A,F8,
0,00C30314,true,Rx,0,8,05,01,50,21,35,8E,00,00,
0,10114001,true,Rx,0,8,FC,97,86,85,F9,9E,8B,F8,
0,00430306,true,Rx,0,8,07,AA,02,01,00,A0,2C,21,
0,10114001,true,Rx,0,8,9D,FD,F5,F8,FE,86,CD,CC,
0,00830306,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,10114001,true,Rx,0,8,CD,CC,CA,CE,CD,C8,CF,CC,
0,00C30306,true,Rx,0,8,05,01,50,21,B9,CE,00,00,
0,10114001,true,Rx,0,8,CD,C8,CD,CD,CD,CD,CD,CD,
0,004B0314,true,Rx,0,8,07,AA,02,35,00,0D,2E,22,
0,10114001,true,Rx,0,8,CE,CC,CC,29,C1,32,32,32,
0,008B0314,true,Rx,0,8,07,23,09,00,01,4B,03,14,
0,10114001,true,Rx,0,8,32,C2,98,CD,CD,CD,CD,95,
0,00CB0314,true,Rx,0,8,07,03,30,22,17,FA,22,22,
0,10114001,true,Rx,0,8,CF,CD,CD,34,CD,CD,CD,CD,
0,010B0314,true,Rx,0,8,07,05,2C,22,22,5F,EE,22,
0,10114001,true,Rx,0,8,CD,CD,CD,CD,CD,CD,CD,21,
0,014B0314,true,Rx,0,8,07,22,47,CF,DD,DD,11,35,
0,10214001,true,Rx,0,1,C7,00,00,00,00,00,00,00,
0,018B0314,true,Rx,0,8,07,22,22,10,35,22,22,38,
0,01CB0314,true,Rx,0,8,07,23,EE,2E,22,22,E0,2E,
0,020B0314,true,Rx,0,8,07,22,22,39,3A,FB,6F,22,
0,024B0314,true,Rx,0,8,07,22,C4,31,22,22,22,22,
0,028B0314,true,Rx,0,8,07,22,22,22,22,22,22,E3,
0,02CB0314,true,Rx,0,8,01,8A,00,00,00,00,00,00,
0,00460306,true,Rx,0,8,07,AA,02,17,00,89,2C,23,
0,00860306,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C60306,true,Rx,0,8,07,03,30,23,20,DC,DA,23,
0,01060306,true,Rx,0,8,07,23,23,23,23,23,23,23,
0,01460306,true,Rx,0,8,07,23,23,23,23,23,23,23,
0,01860306,true,Rx,0,8,06,23,23,23,23,5C,97,00,
0,004D0306,true,Rx,0,8,07,AA,02,45,00,AF,2D,25,
0,008D0306,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00CD0306,true,Rx,0,8,07,03,2F,24,60,25,6D,72,
0,010D0306,true,Rx,0,8,07,10,14,7F,6E,6D,11,76,
0,014D0306,true,Rx,0,8,07,63,10,75,15,1D,10,16,
0,018D0306,true,Rx,0,8,07,6E,25,24,25,24,22,26,
0,01CD0306,true,Rx,0,8,07,25,20,27,24,25,20,25,
0,020D0306,true,Rx,0,8,07,25,25,25,25,25,26,24,
0,024D0306,true,Rx,0,8,07,24,C1,29,DA,DA,DA,DA,
0,028D0306,true,Rx,0,8,07,2A,70,25,25,25,25,7D,
0,02CD0306,true,Rx,0,8,07,27,25,25,DC,25,25,25,
0,030D0306,true,Rx,0,8,07,25,25,25,25,25,25,25,
0,034D0306,true,Rx,0,8,03,25,88,AE,00,00,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,26,
0,00831406,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,03,27,27,A5,88,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00461403,true,Rx,0,8,07,AA,02,17,00,89,2C,27,
0,00861403,true,Rx,0,8,07,23,09,00,01,4B,14,03,
0,00C61403,true,Rx,0,8,07,03,30,27,24,D8,DE,27,
0,01061403,true,Rx,0,8,07,27,27,27,27,27,27,27,
0,01461403,true,Rx,0,8,07,27,27,27,27,27,27,27,
0,01861403,true,Rx,0,7,06,27,27,27,27,AC,B9,00,
0,00461406,true,Rx,0,8,07,AA,02,17,00,89,2C,28,
0,00861406,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C61406,true,Rx,0,8,07,03,30,28,2B,D7,D1,28,
0,01061406,true,Rx,0,8,07,28,28,28,28,28,28,28,
0,01461406,true,Rx,0,8,07,28,28,28,28,28,28,28,
0,01861406,true,Rx,0,7,06,28,28,28,28,48,16,00,
0,10014001,true,Rx,0,8,AA,03,17,00,E2,2C,CE,E5,
0,10114001,true,Rx,0,8,03,00,01,4B,14,06,01,01,
0,10114001,true,Rx,0,8,03,30,CE,CD,31,37,CE,CE,
0,10114001,true,Rx,0,8,CE,CE,CE,CE,CE,CE,CE,CE,
0,10114001,true,Rx,0,8,CE,CE,CE,CE,CE,CE,CE,CE,
0,10214001,true,Rx,0,3,CE,81,23,00,00,00,00,00,
0,00430306,true,Rx,0,8,07,AA,02,01,00,A0,2C,26,
0,00830306,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C30306,true,Rx,0,8,05,03,27,27,A5,88,00,00,
0,00440306,true,Rx,0,8,07,AA,02,05,00,F4,2C,00,
0,00840306,true,Rx,0,8,07,00,00,00,00,00,03,06,
0,00C40306,true,Rx,0,8,07,03,13,01,02,01,1A,00,
0,01040306,true,Rx,0,8,02,7E,A0,00,00,00,00,00,
0,004B0314,true,Rx,0,8,07,AA,02,35,00,0D,2E,27,
0,008B0314,true,Rx,0,8,07,23,09,00,01,4B,03,14,
0,00CB0314,true,Rx,0,8,07,03,30,27,12,FF,27,27,
0,010B0314,true,Rx,0,8,07,00,29,27,27,5A,EB,27,
0,014B0314,true,Rx,0,8,07,27,42,CA,D8,D8,14,30,
0,018B0314,true,Rx,0,8,07,27,27,15,30,27,27,3D,
0,01CB0314,true,Rx,0,8,07,26,EB,2B,27,27,E5,2B,
0,020B0314,true,Rx,0,8,07,27,27,3C,3F,FE,6A,27,
0,024B0314,true,Rx,0,8,07,27,C1,34,27,27,27,27,
0,028B0314,true,Rx,0,8,07,27,27,27,27,27,27,3C,
0,02CB0314,true,Rx,0,8,01,63,00,00,00,00,00,00,
0,00460306,true,Rx,0,8,07,AA,02,17,00,89,2C,28,
0,00860306,true,Rx,0,8,07,23,09,00,01,4B,14,06,
0,00C60306,true,Rx,0,8,07,03,30,28,2B,D7,D1,28,
0,01060306,true,Rx,0,8,07,28,28,28,28,28,28,28,
0,01460306,true,Rx,0,8,07,28,28,28,28,28,28,28,
0,01860306,true,Rx,0,8,06,28,28,28,28,48,16,00,
0,00431403,true,Rx,0,8,07,AA,02,00,00,B5,2D,29,
0,00831403,true,Rx,0,8,07,23,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,5,04,01,05,AF,22,00,00,00,
0,00431403,true,Rx,0,8,07,AA,02,00,00,B5,2D,2A,
0,00831403,true,Rx,0,8,07,23,09,00,01,4B,14,03,
